Wall time,Step,Value
1652557084.880786,465,102.0
1652557096.0186603,658,103.0
1652557123.1365814,1132,26.0
1652557171.0370772,1940,38.0
1652557172.130596,1960,67.0
1652557217.28853,2693,33.0
1652557218.8903432,2717,102.0
1652557253.677572,3265,58.0
1652557307.9855776,4121,17.0
1652557311.5955155,4181,19.0
1652557382.6504679,5262,20.0
1652557384.5375657,5295,42.0
1652557388.6412027,5362,45.0
1652557394.7321181,5454,18.0
1652557419.241962,5832,53.0
1652557421.2799442,5866,27.0
1652557429.6200569,5997,36.0
1652557433.1140783,6053,102.0
1652557447.8915677,6279,40.0
1652557451.029133,6334,37.0
1652557476.1857429,6730,40.0
1652557483.185999,6850,22.0
1652557492.8363645,6991,31.0
1652557520.8353927,7436,25.0
1652557522.6884916,7464,66.0
1652557533.085293,7644,71.0
1652557573.1469657,8291,102.0
1652557588.911525,8548,33.0
1652557589.3030262,8554,24.0
1652557597.5659914,8694,8.0
1652557601.3007011,8752,102.0
1652557626.2691855,9152,41.0
1652557632.2437952,9252,36.0
1652557634.6028643,9291,43.0
1652557661.1144059,9712,25.0
1652557663.7552662,9753,101.0
1652557668.7216382,9837,102.0
1652557672.2540057,9894,74.0
1652557673.754729,9917,39.0
1652557675.815367,9949,32.0
1652557677.5615659,9979,102.0
1652557683.0591104,10063,103.0
1652557690.7757206,10191,101.0
1652557706.3792617,10445,86.0
1652557710.5894814,10518,102.0
1652557718.273503,10645,103.0
1652557742.0975485,11023,44.0
1652557747.816737,11118,65.0
1652557790.1212628,11819,91.0
1652557802.7485166,12027,35.0
1652557805.4802108,12076,38.0
1652557822.9367092,12354,36.0
1652557830.8047476,12476,46.0
1652557856.7842455,12905,40.0
1652557881.0790977,13304,36.0
1652557886.5073133,13388,102.0
1652557894.8577907,13522,101.0
1652557911.650311,13802,40.0
1652557914.3623304,13849,21.0
1652557921.027296,13971,28.0
1652557960.4158332,14645,102.0
1652557972.2912142,14851,102.0
1652557985.7961211,15065,24.0
1652558004.675494,15371,101.0
1652558018.5758853,15610,101.0
1652558061.6670063,16241,102.0
1652558100.7805798,16866,21.0
1652558101.8103898,16883,29.0
1652558103.3620782,16907,47.0
1652558179.1118612,18121,38.0
1652558179.586232,18129,62.0
1652558180.130969,18137,102.0
1652558202.1792345,18481,102.0
1652558219.7474225,18759,38.0
1652558221.8625612,18795,49.0
1652558248.601467,19209,102.0
1652558255.7054963,19319,54.0
1652558258.9979525,19377,46.0
1652558266.8695822,19501,40.0
1652558269.7327385,19546,102.0
1652558274.0790255,19617,41.0
1652558336.116735,20618,103.0
1652558337.7407572,20646,102.0
1652558349.9162102,20841,47.0
1652558357.8454056,20968,102.0
1652558361.945289,21036,74.0
1652558375.7012975,21267,77.0
1652558430.9900033,22162,33.0
1652558464.581163,22702,38.0
1652558512.5198216,23500,30.0
1652558573.6356282,24469,34.0
1652558592.255234,24758,102.0
1652558603.64382,24938,76.0
1652558606.624427,24991,103.0
1652558635.0919495,25444,102.0
1652558646.376619,25649,53.0
1652558662.9859078,25929,30.0
1652558705.6697445,26646,28.0
1652558745.5800674,27308,44.0
1652558786.9881237,27894,102.0
1652558794.5361633,28006,101.0
1652558800.659908,28102,102.0
1652558845.8572724,28794,46.0
1652558878.218661,29310,102.0
1652558890.055161,29490,27.0
1652558894.9204166,29565,101.0
1652558899.3744917,29636,102.0
1652558901.985846,29677,14.0
1652558912.1667426,29831,102.0
1652558926.3929198,30055,102.0
1652558927.9998462,30080,20.0
1652558942.2605963,30300,28.0
1652558985.7478044,30959,42.0
1652558986.2921004,30967,30.0
1652559014.3993042,31376,50.0
1652559016.790056,31410,102.0
1652559032.531557,31660,48.0
1652559051.0039787,31953,58.0
1652559055.5580316,32014,44.0
1652559107.6206267,32811,57.0
1652559108.3549209,32824,30.0
1652559165.5733955,33701,35.0
1652559171.8976705,33803,26.0
1652559176.1134863,33864,103.0
1652559247.2713287,34951,102.0
1652559248.328254,34967,33.0
1652559258.860475,35140,102.0
1652559264.499743,35217,102.0
1652559282.746121,35477,102.0
1652559287.1408484,35551,103.0
1652559297.7593327,35704,30.0
1652559312.4078827,35913,102.0
1652559366.609453,36694,21.0
1652559380.520429,36891,101.0
1652559387.9002106,36996,80.0
1652559392.1511514,37065,98.0
1652559400.396248,37182,70.0
1652559434.9592555,37674,103.0
1652559440.0284746,37749,53.0
1652559481.7051134,38386,67.0
1652559481.7365594,38387,26.0
1652559483.0612962,38408,102.0
1652559508.4923897,38805,47.0
1652559510.4340675,38839,42.0
1652559522.5527148,39025,101.0
1652559558.4200506,39588,41.0
1652559566.904006,39712,11.0
1652559595.345099,40110,102.0
1652559602.992341,40236,103.0
1652559603.7034853,40249,26.0
