Wall time,Step,Value
1652537794.1578388,465,102.0
1652537806.181796,658,38.0
1652537835.1957376,1132,102.0
1652537884.1057658,1940,22.0
1652537885.197683,1960,30.0
1652537932.2156975,2693,22.0
1652537933.6214359,2717,102.0
1652537967.0153327,3265,28.0
1652538019.6116772,4121,45.0
1652538023.0878403,4181,72.0
1652538090.9209454,5262,22.0
1652538092.8683116,5295,57.0
1652538097.2659395,5362,64.0
1652538103.1754878,5454,15.0
1652538127.7220836,5832,103.0
1652538129.9114063,5866,36.0
1652538138.0361288,5997,62.0
1652538141.4340641,6053,48.0
1652538155.8780656,6279,32.0
1652538159.5629642,6334,38.0
1652538185.8272822,6730,102.0
1652538193.642421,6850,40.0
1652538202.781478,6991,102.0
1652538231.3304124,7436,68.0
1652538232.9468577,7464,102.0
1652538244.839708,7644,30.0
1652538286.8552897,8291,36.0
1652538303.4495082,8548,31.0
1652538303.8847747,8554,103.0
1652538312.7054949,8694,22.0
1652538316.2812994,8752,23.0
1652538341.9411323,9152,102.0
1652538348.4215608,9252,35.0
1652538350.789119,9291,30.0
1652538377.2957036,9712,102.0
1652538380.0885623,9753,54.0
1652538385.272165,9837,101.0
1652538388.7922187,9894,102.0
1652538390.276216,9917,28.0
1652538392.1548004,9949,14.0
1652538394.2240117,9979,103.0
1652538399.4607549,10063,36.0
1652538407.3905196,10191,101.0
1652538423.1237178,10445,33.0
1652538427.6934154,10518,58.0
1652538436.3955817,10645,102.0
1652538461.0872226,11023,101.0
1652538467.0659933,11118,54.0
1652538512.4811919,11819,82.0
1652538525.8515286,12027,102.0
1652538528.8748672,12076,23.0
1652538546.3114152,12354,102.0
1652538553.85981,12476,101.0
1652538581.0845387,12905,102.0
1652538606.6530523,13304,34.0
1652538612.0180485,13388,20.0
1652538620.3167698,13522,23.0
1652538638.7186549,13802,16.0
1652538641.885495,13849,50.0
1652538649.7195165,13971,102.0
1652538694.0255344,14645,43.0
1652538707.1956031,14851,8.0
1652538721.0334134,15065,37.0
1652538739.9343696,15371,37.0
1652538754.8532586,15610,21.0
1652538795.6818736,16241,49.0
1652538835.057566,16866,49.0
1652538836.080727,16883,33.0
1652538837.670027,16907,23.0
1652538915.2461822,18121,46.0
1652538915.7286317,18129,25.0
1652538916.2389746,18137,102.0
1652538938.0014398,18481,102.0
1652538956.206389,18759,32.0
1652538958.4890153,18795,51.0
1652538984.8375368,19209,102.0
1652538991.8597553,19319,59.0
1652538995.6048653,19377,102.0
1652539003.962608,19501,91.0
1652539007.1234763,19546,69.0
1652539011.0417905,19617,102.0
1652539074.2281058,20618,16.0
1652539076.0265498,20646,29.0
1652539088.6915228,20841,26.0
1652539097.0150056,20968,103.0
1652539101.3397782,21036,32.0
1652539115.7044554,21267,65.0
1652539172.829445,22162,103.0
1652539207.6501284,22702,52.0
1652539257.6875198,23500,102.0
1652539319.8500593,24469,19.0
1652539338.043681,24758,101.0
1652539350.716683,24938,36.0
1652539354.355424,24991,26.0
1652539384.0589676,25444,103.0
1652539397.1740606,25649,102.0
1652539415.2541862,25929,102.0
1652539461.6072576,26646,49.0
1652539503.1966794,27308,102.0
1652539540.5626369,27894,33.0
1652539547.6739984,28006,102.0
1652539553.6419432,28102,32.0
1652539598.8503191,28794,34.0
1652539631.0857022,29310,46.0
1652539642.4316702,29490,22.0
1652539647.1879957,29565,83.0
1652539651.6962628,29636,96.0
1652539654.3936057,29677,17.0
1652539663.998041,29831,41.0
1652539679.0950143,30055,26.0
1652539680.6793227,30080,27.0
1652539694.496094,30300,52.0
1652539736.88604,30959,89.0
1652539737.5159528,30967,63.0
1652539762.6972263,31376,49.0
1652539764.9778438,31410,51.0
1652539780.6904304,31660,102.0
1652539799.0207691,31953,35.0
1652539803.0912666,32014,68.0
1652539852.751749,32811,38.0
1652539853.6558635,32824,29.0
1652539909.3657815,33701,103.0
1652539915.9246862,33803,102.0
1652539919.829729,33864,37.0
1652539989.994588,34951,47.0
1652539990.8911138,34967,45.0
1652540001.6878765,35140,102.0
1652540006.2346318,35217,102.0
1652540022.8486495,35477,46.0
1652540027.3331585,35551,51.0
1652540036.821829,35704,28.0
1652540049.6838844,35913,42.0
1652540094.7815385,36694,44.0
1652540105.6193337,36891,102.0
1652540110.978521,36996,102.0
1652540115.0172355,37065,103.0
1652540121.5451899,37182,74.0
1652540149.3894699,37674,43.0
1652540153.9734497,37749,62.0
1652540189.270921,38386,48.0
1652540189.383576,38387,102.0
