Wall time,Step,Value
1652479380.2833433,465,102.0
1652479393.3500006,658,102.0
1652479427.470109,1132,102.0
1652479483.9044101,1940,50.0
1652479485.4175186,1960,30.0
1652479540.5307934,2693,29.0
1652479542.2845206,2717,102.0
1652479581.8031294,3265,103.0
1652479644.918671,4121,102.0
1652479648.894479,4181,57.0
1652479729.533937,5262,102.0
1652479731.7136123,5295,59.0
1652479736.9187095,5362,33.0
1652479743.9850223,5454,46.0
1652479773.5574863,5832,102.0
1652479776.2513711,5866,57.0
1652479785.882196,5997,103.0
1652479790.3584156,6053,102.0
1652479808.0469773,6279,101.0
1652479812.1287868,6334,102.0
1652479843.4724853,6730,64.0
1652479852.6257186,6850,26.0
1652479863.4276652,6991,65.0
1652479899.363821,7436,102.0
1652479901.7075524,7464,30.0
1652479916.7494054,7644,103.0
1652479968.250277,8291,51.0
1652479988.228331,8548,102.0
1652479988.686885,8554,69.0
1652479999.8002815,8694,101.0
1652480004.4600224,8752,63.0
1652480036.2891674,9152,102.0
1652480044.356024,9252,27.0
1652480047.5767741,9291,21.0
1652480082.612718,9712,69.0
1652480085.6669176,9753,70.0
1652480092.4079864,9837,39.0
1652480097.3920302,9894,24.0
1652480099.1016066,9917,30.0
1652480101.6467113,9949,66.0
1652480104.043151,9979,54.0
1652480110.4820921,10063,102.0
1652480121.8401208,10191,103.0
1652480141.8126106,10445,35.0
1652480147.5057428,10518,42.0
1652480157.708125,10645,85.0
1652480186.8883104,11023,21.0
1652480193.9815264,11118,35.0
1652480251.4101486,11819,103.0
1652480267.8557715,12027,83.0
1652480271.5438871,12076,102.0
1652480293.6870682,12354,55.0
1652480303.6788242,12476,75.0
1652480337.9343283,12905,102.0
1652480368.930146,13304,76.0
1652480375.259616,13388,34.0
1652480385.7605834,13522,59.0
1652480407.8821096,13802,50.0
1652480411.938175,13849,102.0
1652480421.5413184,13971,65.0
1652480475.7646966,14645,102.0
1652480491.9017363,14851,81.0
1652480508.6007416,15065,30.0
1652480533.1127884,15371,35.0
1652480551.571823,15610,102.0
1652480602.6389892,16241,33.0
1652480653.256808,16866,46.0
1652480654.826884,16883,102.0
1652480656.2934668,16907,92.0
1652480753.6672113,18121,101.0
1652480754.398012,18129,103.0
1652480755.1246893,18137,31.0
1652480782.5641174,18481,46.0
1652480804.8662105,18759,102.0
1652480807.726863,18795,103.0
1652480839.7254848,19209,102.0
1652480848.3107831,19319,61.0
1652480853.2388055,19377,101.0
1652480862.3336241,19501,102.0
1652480865.8225482,19546,19.0
1652480871.2462356,19617,102.0
1652480951.3723652,20618,32.0
1652480953.587001,20646,66.0
1652480968.0255814,20841,103.0
1652480977.7001696,20968,33.0
1652480982.903544,21036,32.0
1652481001.2518418,21267,79.0
1652481072.3862045,22162,36.0
1652481116.3067002,22702,102.0
1652481179.992799,23500,23.0
1652481258.27251,24469,46.0
1652481281.4896295,24758,48.0
1652481295.061773,24938,27.0
1652481299.3389657,24991,102.0
1652481335.086432,25444,32.0
1652481351.8027995,25649,101.0
1652481374.9979486,25929,101.0
1652481431.5518117,26646,101.0
1652481482.8503647,27308,44.0
1652481530.213182,27894,47.0
1652481538.5778532,28006,55.0
1652481545.9929378,28102,51.0
1652481601.0449424,28794,98.0
1652481641.1075914,29310,21.0
1652481655.3831735,29490,29.0
1652481661.0740333,29565,54.0
1652481666.6806505,29636,102.0
1652481669.9310734,29677,102.0
1652481681.8047218,29831,41.0
1652481699.6892889,30055,38.0
1652481701.452767,30080,54.0
1652481718.0831993,30300,36.0
1652481761.5512252,30959,43.0
1652481762.015605,30967,102.0
1652481786.4525626,31376,20.0
1652481788.675502,31410,31.0
1652481804.949913,31660,24.0
1652481823.285508,31953,102.0
1652481826.7932537,32014,25.0
1652481876.407812,32811,39.0
1652481877.080183,32824,64.0
1652481930.4631672,33701,66.0
1652481936.600834,33803,45.0
1652481940.1940699,33864,18.0
1652482005.297066,34951,101.0
1652482006.325672,34967,100.0
1652482016.4816098,35140,101.0
1652482021.1972544,35217,28.0
1652482036.5683134,35477,50.0
1652482041.345768,35551,49.0
1652482050.3531573,35704,39.0
1652482062.8462446,35913,103.0
1652482110.6252334,36694,103.0
1652482121.5113611,36891,102.0
1652482128.114125,36996,37.0
1652482132.2476795,37065,102.0
1652482139.2865431,37182,101.0
1652482167.3368878,37674,43.0
1652482171.947736,37749,102.0
1652482210.6981456,38386,39.0
1652482210.7973428,38387,102.0
1652482212.0065913,38408,53.0
1652482235.5927398,38805,50.0
1652482237.6381764,38839,40.0
1652482249.185338,39025,31.0
1652482283.2438362,39588,47.0
1652482291.0119598,39712,38.0
1652482315.1666987,40110,102.0
1652482323.4491887,40236,41.0
1652482324.2813306,40249,59.0
1652482328.9477048,40332,66.0
1652482334.0933437,40416,102.0
1652482341.642835,40540,101.0
1652482346.337259,40617,58.0
1652482366.3088017,40942,102.0
1652482392.5162618,41374,93.0
1652482398.588143,41473,99.0
1652482428.056797,41968,102.0
1652482430.8723478,42012,47.0
1652482437.9595277,42131,43.0
1652482457.6271703,42461,85.0
1652482461.709623,42535,102.0
1652482480.3157108,42855,51.0
1652482502.6763082,43231,102.0
1652482563.9956715,44255,102.0
1652482565.599717,44283,19.0
1652482569.657294,44349,102.0
1652482576.72719,44463,12.0
1652482580.0705657,44522,39.0
1652482591.4784327,44711,23.0
1652482592.194358,44724,19.0
1652482592.5621288,44730,42.0
1652482594.5230885,44761,53.0
1652482607.1737473,44976,102.0
1652482699.0696034,46492,61.0
1652482721.2967613,46890,102.0
1652482731.9843187,47063,101.0
1652482732.26757,47067,102.0
1652482733.2490125,47083,38.0
1652482738.7039545,47178,103.0
1652482746.4379306,47304,55.0
1652482765.834117,47625,26.0
1652482787.9620938,47999,88.0
1652482798.8781362,48189,45.0
1652482802.4511995,48247,102.0
1652482857.513466,49165,102.0
1652482866.0514584,49314,51.0
1652482876.1827877,49483,101.0
1652482892.1742022,49752,45.0
1652482922.8779547,50261,53.0
