Wall time,Step,Value
1652538193.5185773,465,27.0
1652538205.3864505,658,23.0
1652538233.4879184,1132,38.0
1652538287.248642,1940,38.0
1652538288.8572176,1960,102.0
1652538336.5129914,2693,101.0
1652538337.8856046,2717,40.0
1652538374.2921016,3265,103.0
1652538431.871516,4121,25.0
1652538435.5940566,4181,22.0
1652538506.6837626,5262,102.0
1652538509.023676,5295,101.0
1652538513.7229335,5362,102.0
1652538520.1464496,5454,102.0
1652538546.462387,5832,27.0
1652538548.7322752,5866,23.0
1652538557.7203715,5997,41.0
1652538561.330171,6053,18.0
1652538576.6214068,6279,101.0
1652538580.3846328,6334,102.0
1652538606.6615427,6730,46.0
1652538614.4654086,6850,39.0
1652538622.976802,6991,101.0
1652538651.4758248,7436,55.0
1652538653.2948582,7464,102.0
1652538664.4182794,7644,77.0
1652538705.543404,8291,44.0
1652538721.4931674,8548,84.0
1652538721.9406981,8554,103.0
1652538730.2603874,8694,44.0
1652538734.2797778,8752,102.0
1652538760.256927,9152,56.0
1652538766.577399,9252,102.0
1652538769.0158932,9291,32.0
1652538795.9649248,9712,26.0
1652538798.8197904,9753,101.0
1652538804.5625854,9837,52.0
1652538808.1124465,9894,31.0
1652538809.641681,9917,35.0
1652538811.861764,9949,20.0
1652538813.9771883,9979,41.0
1652538819.5800412,10063,102.0
1652538827.576244,10191,23.0
1652538842.86478,10445,102.0
1652538847.4646356,10518,102.0
1652538855.5880783,10645,95.0
1652538880.5020444,11023,57.0
1652538886.6340606,11118,55.0
1652538933.582739,11819,48.0
1652538947.5232894,12027,102.0
1652538950.578162,12076,60.0
1652538968.8908398,12354,24.0
1652538977.4221272,12476,102.0
1652539004.4748738,12905,102.0
1652539030.0091517,13304,20.0
1652539035.6004138,13388,102.0
1652539044.1981828,13522,35.0
1652539061.8790836,13802,65.0
1652539064.5135932,13849,98.0
1652539071.9459047,13971,44.0
1652539115.872695,14645,102.0
1652539129.1498222,14851,24.0
1652539143.5793,15065,45.0
1652539162.4554255,15371,19.0
1652539177.3390684,15610,28.0
1652539218.9827707,16241,33.0
1652539260.1558373,16866,102.0
1652539261.2227347,16883,79.0
1652539262.8088775,16907,50.0
1652539340.599699,18121,101.0
1652539341.1367357,18129,102.0
1652539341.579711,18137,13.0
1652539362.860642,18481,41.0
1652539380.9960132,18759,28.0
1652539382.9403405,18795,28.0
1652539408.6041317,19209,15.0
1652539415.7260594,19319,102.0
1652539419.169624,19377,24.0
1652539427.4639041,19501,102.0
1652539430.5218463,19546,23.0
1652539435.1319432,19617,13.0
1652539498.0148551,20618,40.0
1652539499.6395822,20646,39.0
1652539512.1949174,20841,102.0
1652539520.198315,20968,102.0
1652539524.5548458,21036,15.0
1652539539.3099802,21267,40.0
1652539596.8271008,22162,102.0
1652539629.7197092,22702,54.0
1652539680.283961,23500,53.0
1652539740.692059,24469,102.0
1652539758.3119578,24758,42.0
1652539769.8354092,24938,45.0
1652539773.1582296,24991,36.0
1652539800.9167004,25444,26.0
1652539813.114609,25649,38.0
1652539831.0266726,25929,102.0
1652539874.4883695,26646,102.0
1652539915.7625628,27308,39.0
1652539951.4294868,27894,38.0
1652539958.1581235,28006,102.0
1652539964.083769,28102,23.0
1652540007.7509048,28794,27.0
1652540039.6581855,29310,103.0
1652540051.3738012,29490,39.0
1652540055.8395011,29565,18.0
1652540059.9731278,29636,103.0
1652540062.988403,29677,24.0
1652540072.3931983,29831,100.0
1652540086.0472746,30055,36.0
1652540087.5988913,30080,81.0
1652540101.2422774,30300,68.0
1652540140.241141,30959,28.0
1652540140.8367162,30967,46.0
1652540165.794498,31376,102.0
1652540167.8540504,31410,63.0
1652540183.1090014,31660,61.0
1652540199.7673743,31953,102.0
1652540203.0979948,32014,82.0
1652540250.7614245,32811,96.0
1652540251.558756,32824,16.0
1652540303.7885933,33701,53.0
1652540309.304467,33803,102.0
1652540312.5888555,33864,60.0
1652540375.0560427,34951,101.0
1652540376.1023893,34967,16.0
1652540386.282291,35140,20.0
1652540391.0722826,35217,101.0
1652540405.6838102,35477,65.0
1652540409.4063373,35551,30.0
1652540418.255352,35704,36.0
1652540429.713811,35913,103.0
1652540474.3121886,36694,67.0
1652540486.160531,36891,23.0
1652540492.4048998,36996,33.0
1652540496.547674,37065,71.0
1652540503.7876413,37182,23.0
1652540532.851979,37674,44.0
1652540537.3562624,37749,39.0
1652540576.158347,38386,33.0
1652540576.2373474,38387,102.0
1652540577.468324,38408,43.0
1652540600.821425,38805,41.0
1652540602.8280602,38839,102.0
1652540613.5783465,39025,44.0
1652540645.9887967,39588,24.0
1652540653.0012298,39712,22.0
1652540676.3166146,40110,47.0
1652540683.4823427,40236,63.0
1652540684.2090101,40249,35.0
1652540689.147015,40332,44.0
1652540693.9679763,40416,55.0
1652540701.2753613,40540,102.0
1652540705.6356516,40617,34.0
1652540725.4093664,40942,101.0
1652540751.6750705,41374,45.0
1652540757.0482745,41473,60.0
1652540786.5871596,41968,101.0
1652540789.3327649,42012,102.0
1652540796.1334763,42131,82.0
1652540814.3669326,42461,83.0
1652540818.5925276,42535,102.0
1652540835.44345,42855,22.0
1652540856.061914,43231,102.0
1652540915.9641836,44255,35.0
1652540917.6405783,44283,36.0
1652540921.2283995,44349,103.0
1652540927.904344,44463,58.0
1652540931.374331,44522,47.0
1652540942.5188882,44711,79.0
1652540943.3309903,44724,30.0
1652540943.7052145,44730,71.0
1652540945.5985973,44761,49.0
1652540958.5569966,44976,29.0
1652541048.5435195,46492,61.0
1652541071.9360387,46890,101.0
1652541081.5256286,47063,38.0
1652541081.721035,47067,103.0
1652541082.5995018,47083,25.0
1652541087.6300926,47178,68.0
1652541094.9324431,47304,20.0
1652541114.019536,47625,102.0
1652541137.252638,47999,101.0
1652541149.5684328,48189,102.0
1652541153.1501033,48247,39.0
1652541213.9025946,49165,101.0
1652541223.2667234,49314,59.0
1652541234.4874222,49483,92.0
1652541252.3220408,49752,26.0
1652541285.4359672,50261,102.0
1652541308.9579577,50639,102.0
1652541312.783366,50697,38.0
1652541385.100973,51797,55.0
1652541394.6691222,51936,102.0
1652541397.319482,51971,70.0
1652541400.4810154,52013,28.0
1652541415.2580137,52229,90.0
1652541417.664412,52263,29.0
1652541423.5254707,52352,101.0
1652541424.5044615,52364,45.0
1652541426.911676,52399,101.0
1652541462.269264,52967,60.0
1652541469.3087132,53082,83.0
1652541503.2927825,53623,40.0
1652541528.7517998,54041,18.0
1652541561.0245473,54592,54.0
1652541571.5476816,54766,103.0
1652541591.271117,55079,21.0
1652541595.1821642,55148,43.0
1652541608.2275507,55367,15.0
1652541615.9120338,55499,68.0
1652541620.998109,55586,42.0
1652541623.7651746,55629,19.0
1652541629.1994865,55718,28.0
1652541644.8241322,55982,40.0
1652541675.3034713,56481,54.0
1652541702.9438164,56932,102.0
1652541704.7106986,56959,102.0
1652541732.5999346,57451,102.0
1652541761.3652816,57944,45.0
1652541786.9791324,58405,63.0
1652541798.872873,58615,30.0
1652541800.9350286,58655,56.0
1652541812.6503782,58865,102.0
1652541823.3886013,59057,102.0
1652541850.9633136,59553,79.0
1652541875.0336192,60001,82.0
1652541891.0515504,60280,96.0
