Wall time,Step,Value
1652479799.9969964,465,27.0
1652479814.2474754,658,64.0
1652479850.9619217,1132,102.0
1652479914.2969575,1940,102.0
1652479915.7743757,1960,48.0
1652479973.8578799,2693,44.0
1652479975.935862,2717,103.0
1652480017.087187,3265,39.0
1652480083.3980439,4121,102.0
1652480087.9276862,4181,28.0
1652480174.5094767,5262,102.0
1652480177.5819592,5295,101.0
1652480182.7921395,5362,35.0
1652480189.802925,5454,102.0
1652480220.1786919,5832,34.0
1652480222.9692116,5866,65.0
1652480233.0803695,5997,53.0
1652480237.5239232,6053,29.0
1652480255.0411108,6279,101.0
1652480259.1354392,6334,63.0
1652480289.3393397,6730,102.0
1652480298.413283,6850,28.0
1652480309.5064883,6991,103.0
1652480344.2780352,7436,27.0
1652480346.60174,7464,34.0
1652480360.2180035,7644,102.0
1652480409.5746446,8291,41.0
1652480429.337204,8548,13.0
1652480429.9598422,8554,62.0
1652480440.4979277,8694,23.0
1652480444.9370515,8752,102.0
1652480476.1710408,9152,103.0
1652480483.5524237,9252,101.0
1652480486.490796,9291,36.0
1652480518.792692,9712,33.0
1652480522.1542928,9753,69.0
1652480529.0311484,9837,24.0
1652480533.6702826,9894,101.0
1652480535.2985475,9917,39.0
1652480537.6843495,9949,101.0
1652480540.2080286,9979,102.0
1652480546.7590618,10063,54.0
1652480556.457771,10191,102.0
1652480576.2184968,10445,46.0
1652480582.1368518,10518,47.0
1652480592.210456,10645,37.0
1652480621.4475803,11023,26.0
1652480628.7594867,11118,30.0
1652480684.1413689,11819,94.0
1652480700.7344031,12027,49.0
1652480704.294177,12076,59.0
1652480725.7247124,12354,36.0
1652480734.5379097,12476,63.0
1652480767.6193676,12905,16.0
1652480798.7806077,13304,101.0
1652480804.9818618,13388,102.0
1652480815.8867345,13522,102.0
1652480837.1314435,13802,38.0
1652480840.6225674,13849,102.0
1652480850.2304568,13971,103.0
1652480901.9677029,14645,101.0
1652480918.3704147,14851,83.0
1652480935.0435684,15065,20.0
1652480958.3447058,15371,39.0
1652480976.5864189,15610,53.0
1652481024.2883584,16241,88.0
1652481072.1417146,16866,57.0
1652481073.5905523,16883,102.0
1652481075.496625,16907,102.0
1652481172.1522264,18121,102.0
1652481172.7151875,18129,23.0
1652481173.31097,18137,41.0
1652481200.7638779,18481,102.0
1652481223.1131508,18759,33.0
1652481225.7220523,18795,31.0
1652481258.5548494,19209,44.0
1652481267.698241,19319,56.0
1652481272.697894,19377,36.0
1652481282.2817478,19501,36.0
1652481285.881023,19546,102.0
1652481291.4131181,19617,102.0
1652481366.9881623,20618,43.0
1652481369.1990647,20646,102.0
1652481384.4408205,20841,102.0
1652481394.0470958,20968,102.0
1652481399.3238037,21036,102.0
1652481416.992237,21267,102.0
1652481486.4051993,22162,102.0
1652481527.6856434,22702,91.0
1652481589.2656977,23500,102.0
1652481666.182484,24469,41.0
1652481688.6055975,24758,73.0
1652481702.9935095,24938,102.0
1652481707.0526512,24991,69.0
1652481739.81936,25444,102.0
1652481752.265417,25649,41.0
1652481768.7420576,25929,46.0
1652481812.5425036,26646,74.0
1652481853.3710196,27308,102.0
1652481889.2505956,27894,25.0
1652481896.1830566,28006,19.0
1652481902.1745667,28102,38.0
1652481943.6574657,28794,54.0
1652481975.0850039,29310,33.0
1652481986.3741648,29490,56.0
1652481991.0690038,29565,58.0
1652481995.0019684,29636,48.0
1652481997.494938,29677,21.0
1652482006.244947,29831,45.0
1652482019.321459,30055,35.0
1652482021.0486054,30080,83.0
1652482033.9035661,30300,54.0
1652482073.8461916,30959,35.0
1652482074.4470441,30967,102.0
1652482098.2067473,31376,59.0
1652482100.2464159,31410,18.0
1652482115.601992,31660,103.0
1652482132.9052508,31953,102.0
1652482136.1487615,32014,71.0
1652482183.3250391,32811,101.0
1652482184.0866082,32824,102.0
1652482235.2691798,33701,39.0
1652482240.9121647,33803,36.0
1652482244.9226646,33864,37.0
1652482309.1737826,34951,22.0
1652482310.0532138,34967,39.0
1652482319.9990094,35140,102.0
1652482324.3771052,35217,54.0
1652482339.4135451,35477,22.0
1652482343.9526477,35551,102.0
1652482353.0604186,35704,102.0
1652482365.0661027,35913,43.0
1652482412.3555167,36694,102.0
1652482423.932501,36891,76.0
1652482429.9651313,36996,103.0
1652482434.3700728,37065,51.0
1652482441.1010613,37182,78.0
1652482470.5149586,37674,35.0
1652482474.7385805,37749,34.0
1652482512.2937217,38386,58.0
1652482512.3160453,38387,18.0
1652482513.650847,38408,102.0
1652482536.4668074,38805,26.0
