Wall time,Step,Value
1652513313.6309414,465,102.0
1652513324.8257785,658,19.0
1652513357.3853934,1132,15.0
1652513406.5699162,1940,35.0
1652513407.6807315,1960,43.0
1652513450.7080445,2693,38.0
1652513452.321401,2717,39.0
1652513485.1748898,3265,31.0
1652513535.0889738,4121,25.0
1652513538.366768,4181,103.0
1652513599.5031521,5262,102.0
1652513601.2756736,5295,34.0
1652513605.1287704,5362,102.0
1652513609.9993625,5454,65.0
1652513630.832819,5832,45.0
1652513632.7622278,5866,102.0
1652513639.3025813,5997,53.0
1652513642.5126677,6053,29.0
1652513655.1266546,6279,60.0
1652513657.7723584,6334,44.0
1652513680.5263147,6730,102.0
1652513687.0670137,6850,58.0
1652513694.1859741,6991,17.0
1652513718.0200765,7436,63.0
1652513719.5173833,7464,40.0
1652513729.020575,7644,102.0
1652513766.61729,8291,40.0
1652513780.4083846,8548,101.0
1652513780.8372176,8554,101.0
1652513788.411548,8694,56.0
1652513791.5220327,8752,102.0
1652513813.2933197,9152,60.0
1652513818.8462062,9252,38.0
1652513820.8538494,9291,25.0
1652513844.5186675,9712,102.0
1652513846.9843225,9753,24.0
1652513851.6428204,9837,87.0
1652513855.4878407,9894,42.0
1652513856.728037,9917,47.0
1652513858.4495058,9949,102.0
1652513860.094956,9979,21.0
1652513864.9909604,10063,88.0
1652513871.760479,10191,30.0
1652513885.930246,10445,64.0
1652513890.0141394,10518,52.0
1652513896.989078,10645,102.0
1652513917.8750443,11023,58.0
1652513922.9202933,11118,32.0
1652513961.5515954,11819,38.0
1652513972.2671745,12027,18.0
1652513975.1213312,12076,69.0
1652513990.6107876,12354,31.0
1652513996.9495814,12476,102.0
1652514020.2981377,12905,33.0
1652514042.442362,13304,52.0
1652514047.3454115,13388,28.0
1652514054.7645414,13522,39.0
1652514070.3202236,13802,35.0
1652514072.9004624,13849,102.0
1652514079.1889536,13971,38.0
1652514116.1616452,14645,36.0
1652514128.1711037,14851,48.0
1652514139.9657574,15065,24.0
1652514157.4409568,15371,48.0
1652514170.3774505,15610,102.0
1652514204.263548,16241,53.0
1652514237.4989178,16866,101.0
1652514238.4185193,16883,103.0
1652514239.7731454,16907,31.0
1652514306.1368465,18121,45.0
1652514306.6288867,18129,102.0
1652514307.0227654,18137,102.0
1652514326.259994,18481,103.0
1652514342.0604668,18759,102.0
1652514344.1717455,18795,103.0
1652514367.5485353,19209,22.0
1652514373.7321813,19319,42.0
1652514376.8293502,19377,39.0
1652514383.5525198,19501,93.0
1652514385.8061023,19546,34.0
1652514389.7299783,19617,26.0
1652514447.7778301,20618,102.0
1652514449.7565007,20646,39.0
1652514460.8588412,20841,102.0
1652514468.0901964,20968,102.0
1652514471.5636716,21036,38.0
1652514484.5878336,21267,102.0
1652514534.9001148,22162,53.0
1652514565.4009035,22702,103.0
1652514610.8235602,23500,59.0
1652514667.0300999,24469,102.0
1652514684.2696402,24758,34.0
1652514694.8380954,24938,101.0
1652514698.0051198,24991,26.0
1652514725.5254476,25444,101.0
1652514737.555696,25649,55.0
1652514752.7471163,25929,59.0
1652514794.0602143,26646,22.0
1652514831.7162814,27308,23.0
1652514864.3124757,27894,103.0
1652514870.2572403,28006,32.0
1652514875.401977,28102,61.0
1652514913.7130551,28794,101.0
1652514942.4236763,29310,102.0
1652514952.7411132,29490,72.0
1652514957.1045525,29565,103.0
1652514960.8367543,29636,101.0
1652514962.8980236,29677,101.0
1652514971.3799982,29831,37.0
1652514983.7405086,30055,101.0
1652514985.1464925,30080,34.0
1652514997.0802364,30300,103.0
1652515032.950909,30959,42.0
1652515033.383445,30967,46.0
1652515055.648575,31376,101.0
1652515057.5103664,31410,103.0
1652515071.852772,31660,94.0
1652515087.8743112,31953,15.0
1652515091.3298826,32014,47.0
1652515134.4993355,32811,34.0
1652515135.1173463,32824,32.0
1652515182.832879,33701,102.0
1652515188.1923783,33803,18.0
1652515191.2526894,33864,26.0
1652515251.8470018,34951,68.0
1652515252.6247778,34967,102.0
1652515261.1593313,35140,83.0
1652515265.325266,35217,102.0
1652515279.8844354,35477,61.0
1652515283.5354545,35551,102.0
1652515291.684737,35704,46.0
1652515303.6225834,35913,27.0
1652515346.6651783,36694,102.0
1652515357.3901696,36891,47.0
1652515363.6642838,36996,103.0
1652515367.4609659,37065,35.0
1652515373.8953314,37182,103.0
1652515401.0629652,37674,66.0
1652515405.002527,37749,35.0
1652515440.447265,38386,22.0
1652515440.4869618,38387,52.0
1652515441.659519,38408,30.0
1652515464.0854008,38805,103.0
1652515465.7653146,38839,102.0
1652515475.7397857,39025,39.0
1652515506.4997406,39588,29.0
1652515513.3049662,39712,102.0
1652515534.7267082,40110,14.0
1652515541.6398351,40236,102.0
1652515542.283838,40249,50.0
1652515547.0474634,40332,102.0
1652515551.673824,40416,102.0
1652515558.2732549,40540,102.0
1652515562.3428857,40617,46.0
1652515579.7892907,40942,37.0
1652515604.107718,41374,9.0
1652515610.0959857,41473,47.0
1652515637.8080394,41968,102.0
1652515639.935279,42012,24.0
1652515646.3818624,42131,30.0
1652515664.2118523,42461,102.0
1652515668.2588131,42535,101.0
1652515685.4924266,42855,102.0
1652515706.47675,43231,38.0
1652515762.7669873,44255,74.0
1652515764.051584,44283,32.0
1652515767.4831293,44349,102.0
1652515773.5382442,44463,26.0
1652515776.5551167,44522,49.0
1652515786.4876735,44711,38.0
1652515787.3058314,44724,61.0
1652515787.6773338,44730,28.0
1652515789.1414685,44761,27.0
1652515800.4601164,44976,101.0
1652515882.631385,46492,38.0
1652515904.268954,46890,102.0
1652515913.7232919,47063,103.0
1652515913.9029965,47067,50.0
1652515914.6309814,47083,43.0
1652515919.5071614,47178,44.0
1652515926.5706084,47304,102.0
1652515943.5625875,47625,77.0
1652515964.0304627,47999,102.0
1652515974.5287986,48189,46.0
1652515977.7285101,48247,47.0
1652516027.6452448,49165,41.0
1652516035.8031461,49314,102.0
1652516045.0060048,49483,13.0
1652516060.9560435,49752,18.0
1652516089.8325868,50261,27.0
1652516110.5309885,50639,63.0
1652516114.041797,50697,102.0
1652516173.0106523,51797,47.0
1652516180.539379,51936,20.0
1652516182.412217,51971,33.0
1652516184.9277883,52013,103.0
1652516197.111447,52229,50.0
1652516199.1508431,52263,23.0
1652516204.6358552,52352,103.0
1652516205.1513343,52364,46.0
1652516207.1639388,52399,39.0
1652516238.5845208,52967,33.0
1652516245.4255707,53082,67.0
1652516277.6061883,53623,43.0
1652516300.3850582,54041,102.0
1652516328.8140848,54592,102.0
1652516338.1371603,54766,20.0
1652516355.6988003,55079,103.0
1652516358.9690435,55148,103.0
1652516370.910339,55367,25.0
1652516377.7356575,55499,68.0
1652516382.2319245,55586,25.0
1652516384.5657253,55629,36.0
1652516389.066318,55718,22.0
1652516403.5613208,55982,44.0
1652516430.3252618,56481,101.0
1652516454.642427,56932,103.0
1652516456.157057,56959,34.0
1652516482.9260342,57451,102.0
1652516509.4347615,57944,101.0
1652516533.556414,58405,50.0
1652516544.6859677,58615,44.0
1652516546.5908463,58655,80.0
1652516557.1056008,58865,101.0
1652516567.145517,59057,101.0
1652516592.7112534,59553,27.0
1652516614.9803462,60001,101.0
1652516628.777916,60280,20.0
1652516635.5489109,60431,20.0
1652516662.5082963,60958,102.0
1652516684.283477,61398,27.0
1652516702.1933444,61742,43.0
1652516711.8323426,61904,74.0
1652516717.0529869,61990,21.0
1652516736.295976,62344,103.0
1652516738.2582436,62386,48.0
1652516798.9405992,63568,102.0
