Wall time,Step,Value
1652826238.0685759,580,101.0
1652826242.9677393,674,79.0
1652826247.9735394,773,28.0
1652826257.2951984,960,49.0
1652826262.9793258,1065,101.0
1652826271.284464,1229,33.0
1652826276.1711855,1326,34.0
1652826287.756893,1551,17.0
1652826288.2168643,1561,50.0
1652826340.9524212,2582,31.0
1652826341.4204288,2592,33.0
1652826348.9988763,2735,39.0
1652826353.2420533,2817,51.0
1652826366.184354,3065,30.0
1652826372.2387946,3184,102.0
1652826376.6679442,3266,102.0
1652826391.6338518,3542,103.0
1652826433.9149218,4329,37.0
1652826451.190507,4613,102.0
1652826461.2184696,4762,28.0
1652826475.4091463,4978,42.0
1652826486.1854422,5145,40.0
1652826500.5469959,5392,21.0
1652826512.0369506,5593,49.0
1652826529.8652515,5906,102.0
1652826531.614283,5936,102.0
1652826534.9259381,5983,102.0
1652826538.6247072,6048,48.0
1652826544.0449848,6137,55.0
1652826550.220368,6238,40.0
1652826577.0206115,6707,42.0
1652826584.04832,6827,102.0
1652826593.5885944,7004,56.0
1652826603.118964,7176,49.0
1652826667.7285578,8324,11.0
1652826673.9717512,8439,102.0
1652826686.4252274,8665,41.0
1652826691.4006233,8753,63.0
1652826692.2527266,8768,53.0
1652826701.682494,8930,102.0
1652826720.207946,9265,33.0
1652826720.9362411,9282,78.0
1652826743.5734909,9697,40.0
1652826745.6515727,9733,23.0
1652826754.2625341,9893,59.0
1652826762.2069995,10036,102.0
1652826789.9080389,10506,24.0
1652826798.36333,10639,102.0
1652826816.9373112,10969,39.0
1652826837.7566278,11341,29.0
1652826840.806696,11399,60.0
1652826848.9039865,11547,102.0
1652826871.3400083,11956,50.0
1652826872.059184,11968,50.0
1652826888.577072,12259,102.0
1652826906.380761,12576,38.0
1652826917.3355649,12780,50.0
1652826930.098915,13015,102.0
1652826938.5974867,13161,102.0
1652826940.9997268,13208,33.0
1652826947.5960417,13325,46.0
1652826970.2191622,13735,102.0
1652826976.5199068,13856,20.0
1652827012.641156,14504,102.0
1652827013.2783728,14515,70.0
1652827046.5572598,15124,39.0
1652827065.3716047,15456,36.0
1652827097.5260746,16048,61.0
1652827101.668701,16122,43.0
1652827123.7682874,16512,102.0
1652827124.7113369,16530,72.0
1652827130.3894312,16634,58.0
1652827149.4194105,16969,103.0
1652827161.8277023,17197,84.0
1652827171.7705278,17372,22.0
1652827190.9239671,17715,33.0
1652827214.9797711,18130,33.0
1652827240.0973,18558,59.0
1652827299.564824,19621,44.0
1652827301.102918,19649,102.0
1652827302.6109583,19669,102.0
1652827329.3827636,20133,102.0
1652827349.1678283,20483,102.0
1652827356.948761,20617,28.0
1652827360.68101,20683,102.0
1652827363.4791408,20732,60.0
1652827369.2901795,20829,53.0
1652827382.9629064,21078,35.0
1652827480.960828,22720,56.0
1652827481.224964,22724,103.0
1652827486.7596042,22824,101.0
1652827506.6510565,23155,67.0
1652827541.289238,23770,57.0
1652827592.586654,24659,61.0
1652827609.3319194,24960,102.0
1652827634.9928644,25382,53.0
1652827639.728614,25460,40.0
1652827649.8004692,25639,102.0
1652827658.3299568,25795,20.0
1652827665.8821185,25941,43.0
1652827681.28277,26221,102.0
1652827735.389764,27207,102.0
1652827789.501921,28196,102.0
1652827865.3116722,29567,70.0
1652827879.550456,29819,30.0
1652827885.030674,29923,102.0
1652827933.8620028,30818,50.0
1652827979.1488883,31649,35.0
1652828010.5488644,32233,38.0
1652828013.473902,32290,56.0
1652828014.8982034,32318,80.0
1652828059.2247453,33133,19.0
1652828059.5949762,33138,102.0
1652828077.8773966,33480,15.0
1652828078.5533752,33493,102.0
1652828086.384239,33634,36.0
1652828151.694298,34830,102.0
1652828162.1621664,35022,101.0
1652828163.7050354,35051,63.0
1652828172.4989297,35206,101.0
1652828188.3401606,35504,41.0
1652828200.8788593,35741,101.0
1652828207.39522,35855,36.0
1652828214.5052028,35987,20.0
1652828226.147601,36203,46.0
1652828237.5712023,36401,102.0
1652828250.7749875,36652,62.0
1652828257.8978581,36778,22.0
1652828276.8831303,37125,102.0
1652828285.0568006,37291,9.0
1652828310.1975615,37757,27.0
1652828317.1120434,37877,31.0
1652828322.6550062,37983,87.0
1652828328.750515,38094,54.0
1652828345.2517433,38395,54.0
1652828352.5400784,38532,33.0
1652828356.9787064,38612,30.0
1652828374.80957,38950,30.0
1652828379.3208196,39035,37.0
1652828383.717251,39112,27.0
1652828483.4012775,40985,29.0
1652828484.0830986,40997,102.0
1652828496.1355019,41220,32.0
1652828499.0083587,41273,102.0
1652828504.8981838,41386,102.0
1652828509.2946172,41466,24.0
1652828523.2287004,41736,53.0
1652828523.8399818,41747,102.0
1652828531.2240572,41888,48.0
1652828537.9060996,42008,30.0
1652828553.1187966,42291,101.0
1652828607.90921,43338,47.0
1652828617.777096,43518,102.0
1652828621.9911346,43593,100.0
1652828629.7510355,43742,63.0
1652828633.9360447,43821,102.0
1652828635.2168145,43847,26.0
1652828639.6453376,43937,42.0
1652828651.5384717,44151,39.0
1652828654.9342566,44210,43.0
1652828667.1510754,44437,10.0
1652828695.20476,44960,102.0
1652828695.872523,44972,34.0
1652828729.977746,45620,102.0
1652828735.756903,45720,31.0
1652828744.7085388,45892,21.0
1652828757.2543316,46116,101.0
1652828781.2213461,46559,40.0
1652828786.857166,46661,50.0
1652828813.1248474,47150,40.0
1652828833.8564992,47530,103.0
1652828910.8749938,48976,62.0
1652828921.3476937,49169,101.0
1652828929.9981308,49332,22.0
1652828940.59956,49537,12.0
1652828960.481808,49907,31.0
1652828963.1334443,49961,57.0
1652829012.0539935,50889,20.0
1652829050.4457524,51589,57.0
1652829062.0890834,51804,102.0
1652829073.855786,52022,36.0
1652829100.7657518,52532,102.0
1652829110.5561366,52715,58.0
1652829122.4213376,52937,36.0
1652829123.6348622,52957,47.0
1652829134.0770233,53150,68.0
1652829152.5302317,53511,54.0
1652829168.9137924,53823,102.0
1652829185.2088153,54152,103.0
1652829208.5908356,54596,101.0
1652829209.3230853,54610,102.0
1652829227.5763004,54968,43.0
1652829229.043331,54995,26.0
1652829237.6809568,55164,40.0
1652829280.8599358,56001,103.0
1652829283.9449623,56057,86.0
1652829294.6824746,56260,51.0
1652829334.8591797,57035,84.0
1652829337.7732313,57095,50.0
1652829343.3851366,57200,102.0
1652829364.5452614,57616,103.0
1652829366.7156706,57658,66.0
1652829369.8385248,57721,58.0
1652829385.2069163,58030,102.0
1652829391.8997986,58159,73.0
1652829399.5796218,58306,102.0
1652829410.4657946,58526,21.0
1652829474.013781,59712,17.0
1652829478.3486454,59780,102.0
1652829490.6423159,59996,40.0
1652829499.5855014,60148,102.0
1652829531.3731441,60688,38.0
1652829561.7818313,61185,101.0
1652829609.1366222,61865,102.0
1652829708.508875,63321,39.0
1652829718.294326,63460,61.0
1652829718.7233915,63465,102.0
1652829760.7267168,64058,56.0
1652829765.722838,64127,17.0
1652829777.21429,64271,39.0
1652829827.2089744,64880,102.0
1652829868.7750263,65423,59.0
1652829945.9406838,66485,37.0
1652829952.5356643,66574,102.0
1652829958.9191296,66664,102.0
1652829984.5039358,67006,102.0
1652829993.9425766,67146,50.0
1652829994.5142922,67155,87.0
1652830013.5579867,67435,13.0
1652830015.4720197,67461,102.0
1652830027.9047623,67624,53.0
1652830029.5220442,67646,103.0
1652830040.6314733,67796,102.0
1652830087.5749192,68436,103.0
1652830103.5056686,68644,69.0
1652830119.562102,68865,103.0
1652830130.8891523,69016,102.0
1652830146.069952,69204,102.0
1652830152.6428668,69285,103.0
1652830175.6828644,69568,101.0
1652830183.5849779,69671,102.0
1652830186.625717,69711,102.0
1652830188.3426306,69732,38.0
1652830191.6730752,69777,97.0
1652830212.151428,70017,47.0
1652830213.5106657,70033,60.0
1652830237.360521,70330,24.0
1652830244.969547,70432,102.0
1652830323.4461331,71480,31.0
1652830350.298298,71922,86.0
1652830352.6981738,71973,35.0
1652830386.2900236,72625,32.0
1652830387.3514776,72647,19.0
1652830421.4685884,73299,73.0
1652830441.3922403,73716,44.0
1652830443.7743888,73757,46.0
1652830457.555309,74008,24.0
1652830474.5384884,74385,31.0
1652830483.4683104,74564,40.0
1652830501.0907328,74925,56.0
1652830516.5300229,75240,102.0
1652830517.3429518,75257,51.0
1652830521.2796764,75344,23.0
1652830522.4457943,75373,17.0
1652830527.3979447,75489,31.0
1652830544.4056454,75883,103.0
1652830563.405422,76327,59.0
1652830573.3785539,76562,38.0
1652830579.7504706,76711,46.0
1652830584.0236645,76809,102.0
1652830588.1602812,76908,21.0
1652830615.4879386,77546,25.0
1652830618.9913244,77637,36.0
1652830657.3202693,78539,21.0
1652830666.2841148,78742,31.0
1652830667.2494664,78766,32.0
1652830726.2671027,80301,30.0
1652830728.5123107,80360,102.0
1652830732.4358728,80461,103.0
1652830750.4670508,80917,30.0
1652830758.7475379,81133,22.0
1652830766.3845077,81327,21.0
1652830770.8890371,81444,13.0
1652830783.9799328,81790,19.0
1652830808.6500337,82441,37.0
1652830813.0796409,82558,37.0
1652830845.6967025,83399,53.0
1652830865.8116424,83956,32.0
1652830874.969304,84214,37.0
1652830899.6157029,84902,17.0
1652830915.1874676,85373,11.0
1652830921.1256285,85556,28.0
1652830921.4564798,85568,29.0
1652830956.242258,86531,21.0
1652830970.1568162,86935,64.0
1652830986.2457745,87422,103.0
1652830986.9897666,87446,28.0
1652830993.9418538,87655,17.0
1652830996.3306658,87714,21.0
1652830999.550573,87804,25.0
1652831001.3560398,87857,14.0
1652831017.5249116,88316,20.0
1652831037.5827491,88906,32.0
1652831039.1630528,88961,7.0
1652831043.6403532,89092,12.0
1652831061.0176013,89639,40.0
1652831071.8702495,89995,24.0
1652831072.3070982,90007,17.0
1652831081.3492239,90308,10.0
1652831092.2665646,90653,23.0
1652831108.5740485,91167,18.0
1652831138.0720963,92040,14.0
1652831176.5825715,93166,12.0
1652831177.7144308,93205,20.0
1652831180.363561,93290,13.0
1652831190.2517097,93623,14.0
1652831190.5829222,93635,18.0
1652831202.0513818,94029,12.0
1652831208.1750672,94241,28.0
1652831214.3595216,94419,39.0
1652831228.3033457,94868,17.0
1652831228.8973067,94891,12.0
1652831234.3101323,95079,12.0
1652831243.4818995,95299,12.0
1652831253.959797,95628,33.0
1652831254.7954032,95655,13.0
1652831256.54217,95700,27.0
1652831257.4960155,95732,18.0
1652831266.5731466,95977,21.0
1652831270.020296,96087,29.0
1652831270.2168696,96094,14.0
1652831270.9455094,96120,27.0
1652831276.4381208,96305,50.0
1652831278.8738194,96390,14.0
1652831288.7735837,96728,102.0
1652831292.2456505,96853,12.0
1652831301.8859298,97162,21.0
1652831313.309162,97543,14.0
1652831314.4634001,97581,10.0
1652831320.270271,97784,31.0
1652831342.9957128,98578,16.0
1652831350.372996,98842,15.0
1652831362.214457,99263,21.0
1652831368.4593916,99474,9.0
1652831393.596728,100309,36.0
1652831401.4717388,100576,18.0
1652831443.1760685,102149,19.0
1652831463.6973686,102912,13.0
1652831492.071748,103975,11.0
1652831495.7299607,104111,11.0
1652831498.1930318,104203,13.0
1652831504.0467112,104413,18.0
1652831504.595756,104432,28.0
1652831557.0557473,106344,18.0
1652831557.2810848,106352,25.0
1652831572.5384684,106898,27.0
1652831602.1186938,108000,10.0
1652831609.1795454,108241,20.0
1652831611.0631735,108305,35.0
1652831611.609676,108329,15.0
1652831614.228649,108427,12.0
1652831645.6350331,109641,10.0
1652831645.845929,109651,20.0
