Wall time,Step,Value
1652966167.548289,209,37.0
1652966172.7281272,301,28.0
1652966185.8735788,517,42.0
1652966210.4052851,953,32.0
1652966230.365085,1296,102.0
1652966241.660169,1501,29.0
1652966245.8673832,1569,55.0
1652966263.6649237,1852,41.0
1652966268.8594778,1943,48.0
1652966317.819135,2776,59.0
1652966325.508491,2894,48.0
1652966342.6113894,3174,72.0
1652966345.9405873,3231,23.0
1652966345.9950407,3232,58.0
1652966368.77269,3602,45.0
1652966372.9779477,3677,102.0
1652966383.0534928,3844,102.0
1652966392.2225869,4000,101.0
1652966417.9581504,4464,102.0
1652966479.9120603,5543,93.0
1652966486.2775185,5643,50.0
1652966487.1957893,5659,102.0
1652966501.2595837,5888,30.0
1652966503.719054,5926,56.0
1652966521.899323,6222,26.0
1652966540.7139513,6535,37.0
1652966541.0536816,6540,68.0
1652966552.103824,6723,31.0
1652966552.4744098,6729,38.0
1652966556.1215959,6797,102.0
1652966567.059102,6968,102.0
1652966573.2065754,7065,91.0
1652966574.5210922,7086,55.0
1652966585.4552197,7281,101.0
1652966586.0651517,7291,101.0
1652966588.0136333,7327,31.0
1652966626.9268794,8019,103.0
1652966674.7909217,8847,24.0
1652966688.9643183,9091,102.0
1652966697.0394244,9222,32.0
1652966703.7376513,9339,21.0
1652966718.9534726,9623,102.0
1652966742.3740842,10036,31.0
1652966756.0740423,10277,64.0
1652966761.2036374,10368,102.0
1652966791.358534,10902,103.0
1652966791.5850134,10906,25.0
1652966826.051628,11507,100.0
1652966844.474456,11811,42.0
1652966852.7681031,11960,102.0
1652966859.521329,12085,62.0
1652966884.279583,12503,32.0
1652966887.4227016,12562,37.0
1652966889.4716039,12597,102.0
1652966894.070187,12674,103.0
1652966920.9166071,13140,102.0
1652966926.2195067,13230,30.0
1652966930.2809134,13304,103.0
1652966955.3218014,13744,19.0
1652966985.6105514,14274,20.0
1652966992.1489007,14386,103.0
1652966992.4344928,14391,102.0
1652967007.881511,14666,102.0
1652967017.3378568,14837,30.0
1652967023.8505113,14952,32.0
1652967038.454529,15200,102.0
1652967057.87349,15535,102.0
1652967107.0493195,16415,102.0
1652967124.025128,16718,102.0
1652967135.6190166,16930,81.0
1652967147.0905893,17137,73.0
1652967174.7114296,17622,34.0
1652967188.0592196,17833,101.0
1652967211.6158671,18240,29.0
1652967249.7408774,18873,102.0
1652967279.3264077,19386,38.0
1652967286.0550466,19494,56.0
1652967331.3842814,20288,51.0
1652967339.890907,20415,103.0
1652967361.4156413,20793,102.0
1652967389.3643963,21279,103.0
1652967413.4190443,21717,101.0
1652967439.032635,22132,102.0
1652967452.052552,22348,28.0
1652967459.864372,22489,37.0
1652967463.522774,22550,103.0
1652967502.000316,23195,59.0
1652967518.3773768,23479,52.0
1652967543.9876146,23907,102.0
1652967563.720014,24267,102.0
1652967563.930853,24271,32.0
1652967579.9962761,24549,102.0
1652967588.3822813,24706,102.0
1652967593.028419,24791,43.0
1652967605.578022,25016,52.0
1652967627.8700671,25413,102.0
1652967649.4407146,25802,103.0
1652967703.976811,26751,92.0
1652967720.000783,27039,101.0
1652967731.405375,27254,15.0
1652967757.6704679,27712,55.0
1652967771.9584181,27960,50.0
1652967792.2632122,28327,101.0
1652967802.580831,28506,102.0
1652967809.916512,28645,45.0
1652967815.8687801,28748,69.0
1652967821.746116,28856,101.0
1652967856.400122,29454,102.0
1652967886.4234762,29944,102.0
1652967952.1686008,31075,75.0
1652968039.0861192,32586,102.0
1652968062.3324096,33007,61.0
1652968088.0593064,33460,101.0
1652968121.4124084,34058,102.0
1652968121.7655945,34065,50.0
1652968136.9472723,34334,51.0
1652968138.1006882,34358,27.0
1652968153.4513257,34613,27.0
1652968155.2423358,34646,32.0
1652968171.2996466,34932,102.0
1652968249.6889715,36298,103.0
1652968255.7718873,36409,20.0
1652968293.2875736,37050,102.0
1652968309.8457108,37338,102.0
1652968323.851854,37580,79.0
1652968332.059898,37724,53.0
1652968340.477317,37874,53.0
1652968360.7228024,38219,28.0
1652968372.4224803,38414,70.0
1652968378.891253,38524,102.0
1652968396.5869,38818,102.0
1652968414.6077564,39119,102.0
1652968447.1219168,39636,40.0
1652968477.1346,40163,102.0
1652968521.6789272,40958,102.0
1652968534.3699672,41177,75.0
1652968534.9894392,41189,68.0
1652968545.247532,41365,21.0
1652968546.3241525,41389,23.0
1652968578.9036841,41980,54.0
1652968590.9403572,42193,35.0
1652968610.3526304,42548,21.0
1652968619.3591042,42701,27.0
1652968640.271608,43060,65.0
1652968642.106442,43093,103.0
1652968659.1470776,43391,32.0
1652968659.567387,43398,102.0
1652968666.595621,43528,36.0
1652968670.3668275,43593,102.0
1652968710.1558452,44269,102.0
1652968717.2273266,44378,86.0
1652968718.3276286,44398,40.0
1652968741.4663467,44795,51.0
1652968741.9867234,44803,102.0
1652968742.467896,44813,55.0
1652968755.1775763,45039,17.0
1652968783.3595421,45496,40.0
1652968804.721785,45867,41.0
1652968837.3276093,46423,41.0
1652968850.2776575,46630,23.0
1652968881.069182,47135,103.0
1652968885.698993,47213,103.0
1652968891.7796097,47315,102.0
1652968914.635883,47688,102.0
1652968918.44539,47751,63.0
1652968939.1632264,48097,102.0
1652968981.3179092,48798,102.0
1652968983.655655,48835,102.0
1652968989.7806098,48938,18.0
1652969002.3888083,49145,98.0
1652969025.4018295,49530,102.0
1652969051.876395,49973,66.0
1652969056.9636102,50060,102.0
1652969076.011845,50376,90.0
1652969108.299485,50935,102.0
1652969118.6258554,51124,102.0
1652969124.1388118,51221,41.0
1652969137.2638073,51455,50.0
1652969145.1444125,51589,102.0
1652969162.4548209,51893,102.0
1652969205.673769,52684,102.0
1652969218.6881924,52917,103.0
1652969236.0383246,53226,68.0
1652969262.660985,53686,17.0
1652969268.7752604,53797,71.0
1652969277.2176814,53945,18.0
1652969280.1194787,53996,52.0
1652969286.4299452,54115,25.0
1652969313.7010808,54617,37.0
1652969322.9282286,54777,52.0
1652969361.4708192,55458,99.0
1652969394.975292,56067,102.0
1652969413.9785872,56413,76.0
1652969484.0895119,57689,46.0
1652969514.6679108,58258,63.0
1652969532.5500357,58582,60.0
1652969546.107196,58845,103.0
1652969555.8251095,59027,101.0
1652969569.6162124,59288,37.0
1652969584.8109555,59573,36.0
1652969699.1237254,61770,27.0
1652969717.7515461,62128,39.0
1652969728.9374375,62346,49.0
1652969747.5171442,62717,92.0
1652969751.7087233,62801,102.0
1652969771.5873837,63191,16.0
1652969780.4483454,63364,102.0
1652969783.3953624,63422,44.0
1652969835.1358128,64482,17.0
1652969850.876218,64819,103.0
1652969853.3677878,64874,83.0
1652969861.8920622,65050,101.0
1652969872.150098,65261,26.0
1652969887.700917,65577,10.0
1652969901.8171895,65879,101.0
1652969906.0074492,65973,31.0
1652969919.635733,66258,15.0
1652969924.2333174,66349,23.0
1652969944.9288292,66761,69.0
1652969954.2619104,66958,43.0
1652969973.090215,67339,102.0
1652969982.7121348,67541,102.0
1652969986.1917155,67613,17.0
1652970026.6825697,68491,29.0
1652970032.8626742,68617,26.0
1652970079.7071784,69630,102.0
1652970091.3323157,69885,26.0
