Wall time,Step,Value
1652925648.394563,483,41.0
1652925659.4894242,661,28.0
1652925668.411922,805,36.0
1652925673.538296,877,102.0
1652925684.1094253,1031,102.0
1652925704.7989392,1380,101.0
1652925706.4325545,1406,42.0
1652925748.737775,2089,28.0
1652925762.3103182,2325,44.0
1652925771.1490288,2481,34.0
1652925788.0880184,2772,53.0
1652925792.5959492,2850,102.0
1652925794.1761408,2882,101.0
1652925807.1870804,3110,48.0
1652925822.4516268,3385,22.0
1652925848.3726308,3854,31.0
1652925861.2193687,4075,37.0
1652925862.940184,4103,39.0
1652925878.8071547,4380,30.0
1652925884.7905328,4492,35.0
1652925896.7504401,4711,21.0
1652925903.3930447,4832,101.0
1652925915.275562,5048,47.0
1652925931.3572013,5342,101.0
1652925939.9678683,5499,38.0
1652925949.2094963,5663,47.0
1652925949.4392765,5666,82.0
1652925963.4182656,5913,102.0
1652925979.4997184,6202,102.0
1652925991.7689564,6426,28.0
1652925996.9942684,6518,103.0
1652926003.27294,6627,66.0
1652926009.6678038,6731,48.0
1652926015.324654,6839,55.0
1652926017.696286,6878,103.0
1652926038.2002344,7232,103.0
1652926042.0946116,7297,57.0
1652926062.93623,7673,39.0
1652926064.1804771,7696,46.0
1652926095.5503252,8271,44.0
1652926109.8424432,8524,22.0
1652926125.5674596,8798,102.0
1652926129.8959694,8875,64.0
1652926134.9499338,8966,30.0
1652926150.1614475,9240,49.0
1652926170.570354,9607,102.0
1652926175.2167757,9698,57.0
1652926201.3290265,10171,102.0
1652926237.2296822,10809,32.0
1652926253.1589007,11095,59.0
1652926265.7540605,11321,39.0
1652926280.5610578,11585,102.0
1652926314.2671585,12183,53.0
1652926374.086525,13272,49.0
1652926400.654089,13776,58.0
1652926402.7458003,13816,34.0
1652926457.8571458,14814,103.0
1652926468.0159874,15001,23.0
1652926473.3792686,15092,102.0
1652926477.1005366,15151,29.0
1652926488.283934,15349,20.0
1652926503.693801,15635,74.0
1652926513.3207388,15801,58.0
1652926558.0446348,16600,28.0
1652926582.925829,17050,59.0
1652926606.9980953,17484,21.0
1652926624.4440472,17803,101.0
1652926648.9207242,18235,102.0
1652926655.6715136,18356,103.0
1652926657.7266743,18391,13.0
1652926690.81054,18993,102.0
1652926707.3356357,19289,31.0
1652926709.400744,19326,102.0
1652926729.2608302,19686,50.0
1652926857.0736446,21973,101.0
1652926873.5140572,22259,29.0
1652926912.3798008,22964,102.0
1652926958.814612,23784,101.0
1652926982.671542,24218,32.0
1652927002.4067914,24572,102.0
1652927045.8454354,25369,102.0
1652927046.1026554,25374,102.0
1652927085.2874968,26075,73.0
1652927105.0718615,26422,102.0
1652927108.023577,26477,38.0
1652927135.725129,26959,16.0
1652927154.8677034,27297,50.0
1652927199.265894,28100,103.0
1652927207.6249568,28249,102.0
1652927252.323313,29041,22.0
1652927268.3834383,29323,102.0
1652927307.045971,30013,37.0
1652927324.8389204,30329,85.0
1652927327.6212764,30382,103.0
1652927337.593025,30563,102.0
1652927350.8947065,30814,102.0
1652927365.3603475,31074,18.0
1652927366.760767,31099,75.0
1652927373.3792067,31217,69.0
1652927422.1450624,32079,102.0
1652927442.617072,32432,64.0
1652927456.2011323,32684,102.0
1652927492.5773234,33328,57.0
1652927497.8001144,33414,103.0
1652927510.4033237,33639,102.0
1652927516.2716367,33748,17.0
1652927522.5127685,33864,32.0
1652927550.1729708,34357,103.0
1652927552.1511524,34391,50.0
1652927557.3492892,34490,102.0
1652927584.3714383,34968,28.0
1652927588.9316287,35057,26.0
1652927602.1743417,35297,61.0
1652927636.4196374,35909,47.0
1652927643.8922386,36037,26.0
1652927653.2958238,36214,102.0
1652927658.2330818,36304,93.0
1652927666.433626,36448,72.0
1652927672.3128304,36554,46.0
1652927678.9767928,36667,102.0
1652927705.255344,37140,56.0
1652927713.4915698,37285,103.0
1652927717.7560904,37363,102.0
1652927731.3862295,37613,23.0
1652927736.7621078,37710,60.0
1652927763.128753,38186,30.0
1652927791.0568497,38674,28.0
1652927818.3604424,39169,52.0
1652927829.5846624,39369,60.0
1652927861.7257597,39955,24.0
1652927862.2839894,39967,24.0
1652927863.5834265,39994,21.0
1652927907.5061302,40795,102.0
1652927913.1767478,40895,101.0
1652927942.9580877,41435,39.0
1652927954.8976517,41656,49.0
1652927955.3062563,41664,102.0
1652927960.4741309,41759,101.0
1652927966.3614073,41860,35.0
1652927976.2919264,42028,33.0
1652928002.8067093,42517,102.0
1652928037.86249,43156,25.0
1652928055.7382777,43474,55.0
1652928063.3152492,43609,37.0
1652928075.4486682,43829,25.0
1652928084.6025977,43987,49.0
1652928110.727316,44457,36.0
1652928123.5272903,44688,79.0
1652928132.9524953,44861,102.0
1652928146.2421443,45105,21.0
1652928159.5499284,45344,36.0
1652928192.8955631,45959,36.0
1652928218.6125798,46432,25.0
1652928235.4967022,46745,101.0
1652928251.7103322,47030,102.0
1652928257.0993805,47131,102.0
1652928258.4003828,47154,102.0
1652928268.993089,47350,103.0
1652928316.5134478,48206,30.0
1652928332.0980468,48497,50.0
1652928344.2739313,48719,102.0
1652928361.4676335,49025,102.0
1652928388.3701503,49521,90.0
1652928401.1721559,49740,42.0
1652928403.4192352,49786,50.0
1652928452.7514195,50686,31.0
1652928453.9792883,50711,102.0
1652928470.3625953,51009,102.0
1652928505.603644,51664,43.0
1652928561.9502106,52695,73.0
1652928622.312268,53788,43.0
1652928622.87837,53797,55.0
1652928625.3592331,53843,36.0
1652928639.8241916,54092,27.0
1652928644.0044444,54166,103.0
1652928650.9254482,54300,103.0
1652928659.62511,54457,48.0
1652928687.349855,54966,17.0
1652928705.7239933,55315,22.0
1652928707.9729714,55358,29.0
1652928718.5948992,55560,102.0
1652928761.1363761,56345,75.0
1652928772.1172316,56551,59.0
1652928780.070201,56696,102.0
1652928839.7744453,57802,34.0
1652928861.0015228,58205,36.0
1652928883.4810221,58622,71.0
1652928896.480041,58871,102.0
1652928898.679668,58918,27.0
1652928900.4137442,58952,102.0
1652928908.0715454,59103,39.0
1652928956.1477933,60023,57.0
1652928972.1418338,60336,72.0
1652929002.1814787,60928,25.0
1652929018.535725,61253,21.0
1652929025.8987906,61404,70.0
1652929030.051332,61486,35.0
1652929054.7902832,61979,36.0
1652929070.5256333,62286,102.0
1652929090.356481,62671,44.0
1652929096.5459192,62792,46.0
1652929098.08152,62825,32.0
1652929103.014181,62925,31.0
1652929117.4767194,63230,45.0
1652929131.6900756,63521,23.0
1652929142.6726131,63741,29.0
1652929152.651311,63945,65.0
1652929156.4414313,64027,53.0
1652929174.4011593,64391,62.0
1652929200.7865448,64931,102.0
1652929222.409315,65379,25.0
1652929222.9316025,65390,49.0
1652929236.5057616,65661,39.0
1652929239.5061543,65722,35.0
1652929260.8980696,66151,47.0
1652929264.427869,66223,102.0
1652929267.669026,66286,25.0
1652929297.8151555,66914,49.0
1652929299.1867368,66944,37.0
1652929321.389357,67404,18.0
1652929323.0669274,67440,102.0
1652929324.1321068,67462,102.0
1652929328.2612007,67552,60.0
1652929356.2046094,68159,23.0
1652929380.1750758,68671,28.0
