Wall time,Step,Value
1652015581.201456,292,72.0
1652015599.3364582,565,32.0
1652015624.193019,983,47.0
1652015629.5341277,1079,103.0
1652015635.2384999,1195,19.0
1652015642.7996652,1341,47.0
1652015660.0474584,1661,101.0
1652015673.1104786,1890,66.0
1652015677.6173584,1972,54.0
1652015682.9126983,2076,39.0
1652015687.1301327,2152,28.0
1652015687.7416918,2163,56.0
1652015714.2556083,2639,28.0
1652015728.4580126,2906,22.0
1652015737.6094642,3075,101.0
1652015759.962144,3490,102.0
1652015774.6236463,3746,102.0
1652015786.7461915,3983,101.0
1652015791.5080705,4069,102.0
1652015806.681159,4345,51.0
1652015863.5961032,5394,63.0
1652015885.5951762,5818,17.0
1652015906.8396041,6201,79.0
1652015924.629221,6528,48.0
1652015925.0756593,6537,24.0
1652015941.9960356,6854,102.0
1652015942.465633,6863,6.0
1652015976.6450539,7507,32.0
1652015978.6877742,7550,10.0
1652015987.0798216,7709,102.0
1652016008.5711389,8111,102.0
1652016022.933309,8392,102.0
1652016032.663997,8574,39.0
1652016066.9530687,9204,102.0
1652016079.754033,9435,77.0
1652016091.3215094,9650,102.0
1652016102.5276573,9857,32.0
1652016113.9602811,10080,61.0
1652016118.0577855,10161,40.0
1652016120.5504928,10209,102.0
1652016128.4561973,10358,60.0
1652016156.7858334,10919,59.0
1652016178.187355,11322,42.0
1652016182.6100616,11408,22.0
1652016212.8659673,11966,29.0
1652016213.852195,11981,102.0
1652016224.7921286,12196,102.0
1652016227.277537,12238,33.0
1652016229.5603561,12272,50.0
1652016262.4629416,12898,103.0
1652016262.7979174,12904,102.0
1652016264.5097933,12938,33.0
1652016264.610368,12940,102.0
1652016288.1512709,13411,19.0
1652016304.2979894,13717,20.0
1652016329.0204954,14175,101.0
1652016336.7637212,14322,102.0
1652016360.8870177,14799,25.0
1652016370.5983644,14984,102.0
1652016406.8681533,15693,49.0
1652016415.589494,15871,83.0
1652016458.4559386,16684,102.0
1652016472.2440858,16953,60.0
1652016483.1896977,17161,52.0
1652016487.0872748,17233,10.0
1652016502.1181192,17509,37.0
1652016509.4332001,17647,102.0
1652016533.651998,18094,102.0
1652016542.4003024,18257,73.0
1652016580.8342087,18974,24.0
1652016587.321139,19092,102.0
1652016628.6930277,19888,74.0
1652016634.9117515,20004,24.0
1652016639.0932145,20082,103.0
1652016647.5771127,20245,37.0
1652016650.628283,20297,93.0
1652016659.0796547,20461,36.0
1652016694.7989843,21130,21.0
1652016721.327913,21651,55.0
1652016735.8144622,21919,14.0
1652016740.1525156,22003,74.0
1652016741.549348,22030,22.0
1652016744.0030346,22075,17.0
1652016745.6034293,22105,20.0
1652016757.8963292,22343,39.0
1652016772.8610368,22609,24.0
1652016799.6375911,23117,103.0
1652016825.011791,23600,72.0
1652016847.5237415,24025,46.0
1652016860.913663,24276,102.0
1652016883.5067098,24706,89.0
1652016894.7414,24925,88.0
1652016895.2405565,24938,26.0
1652016907.3096251,25151,102.0
1652016914.4932144,25283,46.0
1652016931.4729896,25610,102.0
1652016937.885231,25736,102.0
1652016939.666242,25770,102.0
1652016939.9918427,25776,72.0
1652016942.1355503,25818,103.0
1652016963.4069345,26231,84.0
1652016987.2733657,26695,102.0
1652017002.8620503,27002,102.0
1652017019.0640981,27294,102.0
1652017020.724344,27325,58.0
1652017048.2693355,27837,103.0
1652017060.9953272,28079,54.0
1652017067.6390169,28202,103.0
1652017124.896452,29286,53.0
1652017149.1680884,29748,34.0
1652017187.0463896,30455,42.0
1652017188.4858801,30483,103.0
1652017189.926318,30512,19.0
1652017201.2150896,30740,101.0
1652017209.3876784,30893,65.0
1652017211.0974355,30928,102.0
1652017211.3664708,30934,46.0
1652017225.984396,31205,101.0
1652017227.6293652,31237,102.0
1652017236.9202316,31406,36.0
1652017237.0122292,31408,102.0
1652017267.4994292,31988,53.0
1652017283.3891516,32283,15.0
1652017318.8368485,32982,46.0
1652017339.5154946,33374,102.0
1652017346.4767694,33495,41.0
1652017398.7911716,34513,102.0
1652017400.1225488,34538,40.0
1652017416.2213542,34843,103.0
1652017419.4026556,34901,14.0
